# A, B, C, D, E
3.447881171048217727e-11,6.169805574195985876e-09,9.083102366298098344e-10,8.468746322868559263e-11,2.717914235038014946e-12
3.241009732715579249e-11,6.156157262744844349e-09,9.212941818223295944e-10,8.729205507794610182e-11,2.846403027758825257e-12
3.047394124430722470e-11,6.142411750913004973e-09,9.342041018879043015e-10,8.993138921504293264e-11,2.978816739754842003e-12
2.866123895421069885e-11,6.128578399584190629e-09,9.470399622289542727e-10,9.260519192008767791e-11,3.115207312563073405e-12
2.696355480502170373e-11,6.114665876412674216e-09,9.598017527148595797e-10,9.531318979164988757e-11,3.255626275817670260e-12
2.537306975288707532e-11,6.100682209852810438e-09,9.724894858288797453e-10,9.805510981737365860e-11,3.400124748042447365e-12
2.388253342461465054e-11,6.086634838740910084e-09,9.851031949574383573e-10,1.008306794401219306e-10,3.548753436940064727e-12
2.248522011731033259e-11,6.072530657814176019e-09,9.976429328103445837e-10,1.036396266179937903e-10,3.701562640178347956e-12
2.117488839529641914e-11,6.058376059516596628e-09,1.010108769961315700e-09,1.064816798806515159e-10,3.858602246119031966e-12
1.994574397531487396e-11,6.044176972410094168e-09,1.022500793499118477e-09,1.093565683807518891e-10,4.019921734734444299e-12
1.879240561880773138e-11,6.029938896480709237e-09,1.034819105780640530e-09,1.122640219414790045e-10,4.185570178367185708e-12
1.770987377524403616e-11,6.015666935603623332e-09,1.047063823277434714e-09,1.152037711009235175e-10,4.355596242815311951e-12
1.669350174328309926e-11,6.001365827407438698e-09,1.059235075508729762e-09,1.181755471521589891e-10,4.530048188372755752e-12
1.573896913725912751e-11,5.987039970756763665e-09,1.071333004053820055e-09,1.211790821811299765e-10,4.708973871041732856e-12
1.484225746524794686e-11,5.972693451052865927e-09,1.083357761637600291e-09,1.242141091007282812e-10,4.892420743535609662e-12
1.399962764201984941e-11,5.958330063534641500e-09,1.095309511283734374e-09,1.272803616830292371e-10,5.080435856581466317e-12
1.320759927565973305e-11,5.943953334746118006e-09,1.107188425529863253e-09,1.303775745880411740e-10,5.273065860312823290e-12
1.246293158069659395e-11,5.929566542322364289e-09,1.118994685700379578e-09,1.335054833911480913e-10,5.470357005412140171e-12
1.176260578336547714e-11,5.915172733232413712e-09,1.130728481232052367e-09,1.366638246076299792e-10,5.672355144553170664e-12
1.110380889624636494e-11,5.900774740605883851e-09,1.142390009048556867e-09,1.398523357154532474e-10,5.879105733875992026e-12
1.048391875009714940e-11,5.886375199259080486e-09,1.153979472980240030e-09,1.430707551762843439e-10,6.090653834303464624e-12
9.900490180319737918e-12,5.871976560026468335e-09,1.165497083225524808e-09,1.463188224546389603e-10,6.307044113076310328e-12
9.351242274258761501e-12,5.857581102994313467e-09,1.176943055850820538e-09,1.495962780353765656e-10,6.528320845235668965e-12
8.834046593512314173e-12,5.843190949725179431e-09,1.188317612326231016e-09,1.529028634399120350e-10,6.754527915175306780e-12
8.346916292705028772e-12,5.828808074554338312e-09,1.199620979093982728e-09,1.562383212407942166e-10,6.985708818169082176e-12
7.887996062802351540e-12,5.814434315032448683e-09,1.210853387167630409e-09,1.596023950751386729e-10,7.221906661968732309e-12
7.455552833089551830e-12,5.800071381582504620e-09,1.222015071759161126e-09,1.629948296568723315e-10,7.463164168369888356e-12
7.047967171453523195e-12,5.785720866433478131e-09,1.233106271932546227e-09,1.664153707876927501e-10,7.709523674845430873e-12
6.663725327638550702e-12,5.771384251887809884e-09,1.244127230281221752e-09,1.698637653671493276e-10,7.961027136192729515e-12
6.301411868742027455e-12,5.757062917975184026e-09,1.255078192628142204e-09,1.733397614017909919e-10,8.217716126161213785e-12
5.959702860413154760e-12,5.742758149540735632e-09,1.265959407746571516e-09,1.768431080131694563e-10,8.479631839094811227e-12
5.637359551052231361e-12,5.728471142811800191e-09,1.276771127100143409e-09,1.803735554453448752e-10,8.746815091657953479e-12
5.333222519812869944e-12,5.714203011483776672e-09,1.287513604600801462e-09,1.839308550710864163e-10,9.019306324565866862e-12
5.046206252414298293e-12,5.699954792362320694e-09,1.298187096383207931e-09,1.875147593980199443e-10,9.297145604034619993e-12
4.775294111701984666e-12,5.685727450596076672e-09,1.308791860594783185e-09,1.911250220735473414e-10,9.580372623885388868e-12
4.519533672576948000e-12,5.671521884531385945e-09,1.319328157199735035e-09,1.947613978893432162e-10,9.869026706936687461e-12
4.278032393368974747e-12,5.657338930217852715e-09,1.329796247796608751e-09,1.984236427853772248e-10,1.016314680680265353e-11
4.049953597976789511e-12,5.643179365591384829e-09,1.340196395447980084e-09,2.021115138529530546e-10,1.046277150971632592e-11
3.834512745157075979e-12,5.629043914359117004e-09,1.350528864521790033e-09,2.058247693377094872e-10,1.076793903619954940e-11
3.630973963230718037e-12,5.614933249608748914e-09,1.360793920543119243e-09,2.095631686421355706e-10,1.107868724276730433e-11
3.438646830203658614e-12,5.600847997163006590e-09,1.370991830056075527e-09,2.133264723269550608e-10,1.139505362375957893e-11
3.256883380885177691e-12,5.586788738698293653e-09,1.381122860494741693e-09,2.171144421130765259e-10,1.171707531299796324e-11
3.085075324040347447e-12,5.572756014645129827e-09,1.391187280062842475e-09,2.209268408823722919e-10,1.204478908561280550e-11
2.922651453947532773e-12,5.558750326886545612e-09,1.401185357621308773e-09,2.247634326785334631e-10,1.237823135969551021e-11
2.769075241956175671e-12,5.544772141269389396e-09,1.411117362583262729e-09,2.286239827072360045e-10,1.271743819814993317e-11
2.623842594764149622e-12,5.530821889942281484e-09,1.420983564816068788e-09,2.325082573364730096e-10,1.306244531040753563e-11
2.486479767166329387e-12,5.516899973532959446e-09,1.430784234549694704e-09,2.364160240960218414e-10,1.341328805417439945e-11
2.356541417974339840e-12,5.503006763176678829e-09,1.440519642291201121e-09,2.403470516769957227e-10,1.377000143715894563e-11
2.233608798679067207e-12,5.489142602406539232e-09,1.450190058744766854e-09,2.443011099311117847e-10,1.413262011894402180e-11
2.117288065228543957e-12,5.475307808915679284e-09,1.459795754737031090e-09,2.482779698695606991e-10,1.450117841251784225e-11
2.007208704030641446e-12,5.461502676200595826e-09,1.469337001147294846e-09,2.522774036617703527e-10,1.487571028629760452e-11
1.903022063967592166e-12,5.447727475094093228e-09,1.478814068842305848e-09,2.562991846340088950e-10,1.525624936560699396e-11
1.804399986832883944e-12,5.433982455195750806e-09,1.488227228615192746e-09,2.603430872675399185e-10,1.564282893467209455e-11
1.711033529175053632e-12,5.420267846207187545e-09,1.497576751128582181e-09,2.644088871968741606e-10,1.603548193815755058e-11
1.622631769061206849e-12,5.406583859178860688e-09,1.506862906861327937e-09,2.684963612076767368e-10,1.643424098305914136e-11
1.538920691759832796e-12,5.392930687674630152e-09,1.516085966058620991e-09,2.726052872346765449e-10,1.683913834034094286e-11
1.459642148790792461e-12,5.379308508859857555e-09,1.525246198685543739e-09,2.767354443591084162e-10,1.725020594666100099e-11
1.384552885203537243e-12,5.365717484518394169e-09,1.534343874383547259e-09,2.808866128064643212e-10,1.766747540636714070e-11
1.313423630325527062e-12,5.352157762003354725e-09,1.543379262429814627e-09,2.850585739437237104e-10,1.809097799274146890e-11
1.246038247574043255e-12,5.338629475126338229e-09,1.552352631699235413e-09,2.892511102766159603e-10,1.852074465022854374e-11
1.182192939248584805e-12,5.325132744989245743e-09,1.561264250628888415e-09,2.934640054468839047e-10,1.895680599572527882e-11
1.121695502519973408e-12,5.311667680762721866e-09,1.570114387184989586e-09,2.976970442291239533e-10,1.939919232067206864e-11
1.064364633108242837e-12,5.298234380414795803e-09,1.578903308831759438e-09,3.019500125278851688e-10,1.984793359245963871e-11
1.010029273396100300e-12,5.284832931393148199e-09,1.587631282502616685e-09,3.062226973744650798e-10,2.030305945637409609e-11
9.585280019600907062e-13,5.271463411264136294e-09,1.596298574573053125e-09,3.105148869236927752e-10,2.076459923712339105e-11
9.097084617189053121e-13,5.258125888311478295e-09,1.604905450835532852e-09,3.148263704505970211e-10,2.123258194066094015e-11
8.634268240991725170e-13,5.244820422097327506e-09,1.613452176475855770e-09,3.191569383469251221e-10,2.170703625578231098e-11
